,Class
8552,Non Abusive
8929,Non Abusive
13380,Non Abusive
23721,Non Abusive
21291,Non Abusive
10936,Non Abusive
3395,Abusive
3482,Non Abusive
15834,Non Abusive
12689,Non Abusive
15148,Non Abusive
14294,Non Abusive
19390,Non Abusive
12564,Non Abusive
9682,Non Abusive
21341,Non Abusive
8007,Non Abusive
20014,Non Abusive
3525,Non Abusive
15570,Non Abusive
12571,Non Abusive
18815,Non Abusive
14065,Non Abusive
246,Abusive
12093,Non Abusive
2812,Abusive
1197,Abusive
17841,Non Abusive
22386,Non Abusive
19261,Non Abusive
11087,Non Abusive
15746,Non Abusive
10221,Non Abusive
13519,Non Abusive
22856,Non Abusive
24180,Non Abusive
22546,Non Abusive
22468,Non Abusive
7215,Non Abusive
19107,Non Abusive
16488,Non Abusive
20409,Non Abusive
23193,Non Abusive
15022,Non Abusive
14853,Non Abusive
10224,Non Abusive
12993,Non Abusive
21826,Non Abusive
11412,Non Abusive
19788,Non Abusive
13068,Non Abusive
13787,Non Abusive
18876,Non Abusive
13589,Non Abusive
3274,Abusive
24374,Non Abusive
25655,Non Abusive
5054,Non Abusive
13527,Non Abusive
8348,Non Abusive
1433,Abusive
688,Abusive
4987,Non Abusive
21542,Non Abusive
18627,Non Abusive
20961,Non Abusive
15528,Non Abusive
24640,Non Abusive
17711,Non Abusive
10375,Non Abusive
16969,Non Abusive
13718,Non Abusive
12735,Non Abusive
4203,Non Abusive
22974,Non Abusive
4642,Non Abusive
23483,Non Abusive
6855,Non Abusive
17231,Non Abusive
6041,Non Abusive
13059,Non Abusive
24428,Non Abusive
20189,Non Abusive
8986,Non Abusive
6702,Non Abusive
3653,Non Abusive
2933,Abusive
22993,Non Abusive
5972,Non Abusive
7818,Non Abusive
14532,Non Abusive
13199,Non Abusive
13850,Non Abusive
20504,Non Abusive
24786,Non Abusive
22182,Non Abusive
12047,Non Abusive
15689,Non Abusive
14196,Non Abusive
4184,Non Abusive
6191,Non Abusive
21684,Non Abusive
3862,Non Abusive
24120,Non Abusive
15964,Non Abusive
15119,Non Abusive
1380,Abusive
16399,Non Abusive
3327,Abusive
4085,Non Abusive
2296,Abusive
16127,Non Abusive
20188,Non Abusive
5221,Non Abusive
5375,Non Abusive
6044,Non Abusive
4732,Non Abusive
5512,Non Abusive
9032,Non Abusive
13669,Non Abusive
4885,Non Abusive
17801,Non Abusive
1887,Abusive
19010,Non Abusive
12545,Non Abusive
21099,Non Abusive
22353,Non Abusive
16100,Non Abusive
1655,Abusive
20055,Non Abusive
12705,Non Abusive
6379,Non Abusive
24618,Non Abusive
16829,Non Abusive
7766,Non Abusive
25439,Non Abusive
13443,Non Abusive
26161,Non Abusive
17211,Non Abusive
8176,Non Abusive
20812,Non Abusive
5247,Non Abusive
12889,Non Abusive
14156,Non Abusive
12690,Non Abusive
9440,Non Abusive
13374,Non Abusive
21981,Non Abusive
13663,Non Abusive
450,Abusive
15887,Non Abusive
3195,Abusive
10245,Non Abusive
5132,Non Abusive
22184,Non Abusive
13892,Non Abusive
384,Abusive
8814,Non Abusive
10404,Non Abusive
8906,Non Abusive
8086,Non Abusive
1074,Abusive
12280,Non Abusive
19437,Non Abusive
14432,Non Abusive
11332,Non Abusive
21524,Non Abusive
25911,Non Abusive
1398,Abusive
9395,Non Abusive
2958,Abusive
8723,Non Abusive
4867,Non Abusive
6053,Non Abusive
4724,Non Abusive
741,Abusive
933,Abusive
4351,Non Abusive
3063,Abusive
14153,Non Abusive
13836,Non Abusive
2756,Abusive
16137,Non Abusive
18818,Non Abusive
15575,Non Abusive
16806,Non Abusive
2848,Abusive
12155,Non Abusive
19552,Non Abusive
18934,Non Abusive
7799,Non Abusive
17399,Non Abusive
7550,Non Abusive
25083,Non Abusive
14366,Non Abusive
24790,Non Abusive
16014,Non Abusive
13980,Non Abusive
11047,Non Abusive
16184,Non Abusive
11568,Non Abusive
23020,Non Abusive
22263,Non Abusive
21930,Non Abusive
19962,Non Abusive
10729,Non Abusive
13016,Non Abusive
8684,Non Abusive
13943,Non Abusive
2592,Abusive
8534,Non Abusive
14871,Non Abusive
11703,Non Abusive
7886,Non Abusive
11432,Non Abusive
6690,Non Abusive
23898,Non Abusive
18521,Non Abusive
14975,Non Abusive
6290,Non Abusive
21493,Non Abusive
14148,Non Abusive
16287,Non Abusive
18336,Non Abusive
18879,Non Abusive
6576,Non Abusive
16768,Non Abusive
11089,Non Abusive
6288,Non Abusive
17001,Non Abusive
24687,Non Abusive
132,Abusive
18545,Non Abusive
22587,Non Abusive
8473,Non Abusive
585,Abusive
18294,Non Abusive
4956,Non Abusive
24116,Non Abusive
20533,Non Abusive
10477,Non Abusive
22862,Non Abusive
9039,Non Abusive
23557,Non Abusive
6825,Non Abusive
8807,Non Abusive
7626,Non Abusive
5585,Non Abusive
22774,Non Abusive
10338,Non Abusive
13232,Non Abusive
200,Abusive
10247,Non Abusive
8533,Non Abusive
13163,Non Abusive
25530,Non Abusive
16424,Non Abusive
21417,Non Abusive
10270,Non Abusive
13565,Non Abusive
158,Abusive
19564,Non Abusive
6003,Non Abusive
18527,Non Abusive
8194,Non Abusive
22509,Non Abusive
9821,Non Abusive
10267,Non Abusive
7560,Non Abusive
10163,Non Abusive
25717,Non Abusive
23819,Non Abusive
1900,Abusive
18621,Non Abusive
24254,Non Abusive
12109,Non Abusive
24657,Non Abusive
13732,Non Abusive
14858,Non Abusive
4731,Non Abusive
18230,Non Abusive
18571,Non Abusive
23444,Non Abusive
1422,Abusive
17166,Non Abusive
22411,Non Abusive
2823,Abusive
16743,Non Abusive
12777,Non Abusive
18961,Non Abusive
10040,Non Abusive
2271,Abusive
26099,Non Abusive
15376,Non Abusive
15816,Non Abusive
7928,Non Abusive
16647,Non Abusive
1778,Abusive
23265,Non Abusive
14290,Non Abusive
7462,Non Abusive
14472,Non Abusive
23764,Non Abusive
21547,Non Abusive
8893,Non Abusive
1601,Abusive
18760,Non Abusive
18433,Non Abusive
19533,Non Abusive
12949,Non Abusive
7412,Non Abusive
15772,Non Abusive
13488,Non Abusive
14025,Non Abusive
13615,Non Abusive
24023,Non Abusive
16480,Non Abusive
25012,Non Abusive
24982,Non Abusive
24914,Non Abusive
9006,Non Abusive
22738,Non Abusive
11369,Non Abusive
12797,Non Abusive
15894,Non Abusive
19559,Non Abusive
16840,Non Abusive
1257,Abusive
1920,Abusive
23703,Non Abusive
5420,Non Abusive
13823,Non Abusive
25851,Non Abusive
18044,Non Abusive
18999,Non Abusive
5298,Non Abusive
9525,Non Abusive
10442,Non Abusive
20343,Non Abusive
13177,Non Abusive
5561,Non Abusive
10511,Non Abusive
22726,Non Abusive
12497,Non Abusive
23481,Non Abusive
22048,Non Abusive
9836,Non Abusive
1208,Abusive
25579,Non Abusive
23433,Non Abusive
3646,Non Abusive
18259,Non Abusive
13250,Non Abusive
25433,Non Abusive
16651,Non Abusive
11786,Non Abusive
1330,Abusive
4155,Non Abusive
4406,Non Abusive
18036,Non Abusive
17450,Non Abusive
20357,Non Abusive
22652,Non Abusive
20695,Non Abusive
25556,Non Abusive
10072,Non Abusive
14141,Non Abusive
23710,Non Abusive
7839,Non Abusive
10187,Non Abusive
508,Abusive
7169,Non Abusive
16702,Non Abusive
2036,Abusive
49,Abusive
3712,Non Abusive
20264,Non Abusive
20598,Non Abusive
24833,Non Abusive
7822,Non Abusive
15353,Non Abusive
494,Abusive
12570,Non Abusive
18042,Non Abusive
6281,Non Abusive
8732,Non Abusive
25761,Non Abusive
179,Abusive
24934,Non Abusive
6068,Non Abusive
4496,Non Abusive
8230,Non Abusive
18618,Non Abusive
376,Abusive
9257,Non Abusive
3924,Non Abusive
5526,Non Abusive
23344,Non Abusive
16828,Non Abusive
6228,Non Abusive
2853,Abusive
23622,Non Abusive
15599,Non Abusive
18167,Non Abusive
9728,Non Abusive
6169,Non Abusive
5257,Non Abusive
20651,Non Abusive
25839,Non Abusive
20196,Non Abusive
529,Abusive
4518,Non Abusive
5519,Non Abusive
667,Abusive
6328,Non Abusive
9924,Non Abusive
24362,Non Abusive
2281,Abusive
4605,Non Abusive
12593,Non Abusive
11376,Non Abusive
7617,Non Abusive
15181,Non Abusive
5454,Non Abusive
17279,Non Abusive
4712,Non Abusive
22089,Non Abusive
19690,Non Abusive
6736,Non Abusive
23175,Non Abusive
22395,Non Abusive
20104,Non Abusive
6581,Non Abusive
17010,Non Abusive
14888,Non Abusive
18764,Non Abusive
825,Abusive
16817,Non Abusive
6766,Non Abusive
1141,Abusive
14107,Non Abusive
10494,Non Abusive
23599,Non Abusive
23855,Non Abusive
24360,Non Abusive
16347,Non Abusive
25557,Non Abusive
12958,Non Abusive
5220,Non Abusive
8837,Non Abusive
8685,Non Abusive
9113,Non Abusive
17262,Non Abusive
21595,Non Abusive
1374,Abusive
22223,Non Abusive
21627,Non Abusive
5996,Non Abusive
19759,Non Abusive
19530,Non Abusive
3804,Non Abusive
9802,Non Abusive
16527,Non Abusive
7959,Non Abusive
13221,Non Abusive
5581,Non Abusive
22105,Non Abusive
22979,Non Abusive
12193,Non Abusive
6523,Non Abusive
13038,Non Abusive
12011,Non Abusive
7236,Non Abusive
23394,Non Abusive
12668,Non Abusive
6039,Non Abusive
4289,Non Abusive
12418,Non Abusive
6707,Non Abusive
24295,Non Abusive
935,Abusive
2434,Abusive
11025,Non Abusive
10652,Non Abusive
21115,Non Abusive
17428,Non Abusive
738,Abusive
20403,Non Abusive
14930,Non Abusive
14948,Non Abusive
9303,Non Abusive
8355,Non Abusive
9156,Non Abusive
10016,Non Abusive
6951,Non Abusive
20561,Non Abusive
21892,Non Abusive
22680,Non Abusive
6945,Non Abusive
23237,Non Abusive
7536,Non Abusive
18524,Non Abusive
3663,Non Abusive
11541,Non Abusive
21864,Non Abusive
3830,Non Abusive
7666,Non Abusive
20934,Non Abusive
21260,Non Abusive
25114,Non Abusive
16111,Non Abusive
14784,Non Abusive
677,Abusive
18133,Non Abusive
8887,Non Abusive
21078,Non Abusive
20468,Non Abusive
357,Abusive
25184,Non Abusive
1164,Abusive
14625,Non Abusive
4072,Non Abusive
13908,Non Abusive
1248,Abusive
12540,Non Abusive
9399,Non Abusive
19563,Non Abusive
22851,Non Abusive
18678,Non Abusive
14164,Non Abusive
23793,Non Abusive
12600,Non Abusive
9650,Non Abusive
10807,Non Abusive
4575,Non Abusive
11805,Non Abusive
6600,Non Abusive
20754,Non Abusive
3202,Abusive
627,Abusive
10381,Non Abusive
1065,Abusive
21372,Non Abusive
15164,Non Abusive
831,Abusive
4400,Non Abusive
8407,Non Abusive
14636,Non Abusive
14488,Non Abusive
14938,Non Abusive
11820,Non Abusive
22122,Non Abusive
24096,Non Abusive
9137,Non Abusive
11012,Non Abusive
25288,Non Abusive
15552,Non Abusive
20971,Non Abusive
10052,Non Abusive
19575,Non Abusive
5001,Non Abusive
10076,Non Abusive
8446,Non Abusive
26183,Non Abusive
19607,Non Abusive
317,Abusive
16521,Non Abusive
3323,Abusive
3296,Abusive
13853,Non Abusive
18883,Non Abusive
5980,Non Abusive
11635,Non Abusive
14450,Non Abusive
4745,Non Abusive
19974,Non Abusive
17449,Non Abusive
23464,Non Abusive
22422,Non Abusive
20661,Non Abusive
25730,Non Abusive
3114,Abusive
17949,Non Abusive
388,Abusive
5429,Non Abusive
15849,Non Abusive
12704,Non Abusive
19729,Non Abusive
18227,Non Abusive
10682,Non Abusive
20690,Non Abusive
14222,Non Abusive
866,Abusive
5905,Non Abusive
4568,Non Abusive
4526,Non Abusive
17468,Non Abusive
8069,Non Abusive
5690,Non Abusive
13793,Non Abusive
8212,Non Abusive
8350,Non Abusive
6197,Non Abusive
21413,Non Abusive
23697,Non Abusive
19764,Non Abusive
22563,Non Abusive
6880,Non Abusive
25117,Non Abusive
2293,Abusive
14246,Non Abusive
3844,Non Abusive
22798,Non Abusive
16268,Non Abusive
25802,Non Abusive
23339,Non Abusive
23475,Non Abusive
9528,Non Abusive
3194,Abusive
6984,Non Abusive
23795,Non Abusive
3228,Abusive
23305,Non Abusive
10800,Non Abusive
15506,Non Abusive
15680,Non Abusive
21720,Non Abusive
23734,Non Abusive
4017,Non Abusive
10169,Non Abusive
19596,Non Abusive
4490,Non Abusive
17359,Non Abusive
19499,Non Abusive
3842,Non Abusive
2608,Abusive
8775,Non Abusive
22041,Non Abusive
10559,Non Abusive
13502,Non Abusive
11602,Non Abusive
26059,Non Abusive
12559,Non Abusive
2507,Abusive
15642,Non Abusive
7336,Non Abusive
16016,Non Abusive
13271,Non Abusive
10236,Non Abusive
3726,Non Abusive
5928,Non Abusive
7113,Non Abusive
11175,Non Abusive
22373,Non Abusive
17496,Non Abusive
21317,Non Abusive
16812,Non Abusive
13736,Non Abusive
23300,Non Abusive
15103,Non Abusive
11306,Non Abusive
23502,Non Abusive
14523,Non Abusive
9062,Non Abusive
16569,Non Abusive
5258,Non Abusive
5732,Non Abusive
11788,Non Abusive
14777,Non Abusive
24862,Non Abusive
9237,Non Abusive
26020,Non Abusive
14595,Non Abusive
2905,Abusive
12149,Non Abusive
2056,Abusive
24156,Non Abusive
236,Abusive
13926,Non Abusive
19358,Non Abusive
20633,Non Abusive
5724,Non Abusive
11116,Non Abusive
6242,Non Abusive
15585,Non Abusive
24808,Non Abusive
20444,Non Abusive
15673,Non Abusive
8568,Non Abusive
8579,Non Abusive
16937,Non Abusive
15815,Non Abusive
2262,Abusive
8810,Non Abusive
20976,Non Abusive
2186,Abusive
14027,Non Abusive
15785,Non Abusive
11645,Non Abusive
18382,Non Abusive
8520,Non Abusive
25148,Non Abusive
2706,Abusive
24135,Non Abusive
25006,Non Abusive
7233,Non Abusive
13275,Non Abusive
328,Abusive
8098,Non Abusive
13113,Non Abusive
8235,Non Abusive
12557,Non Abusive
16759,Non Abusive
10063,Non Abusive
19916,Non Abusive
20985,Non Abusive
4178,Non Abusive
6762,Non Abusive
7090,Non Abusive
21495,Non Abusive
18098,Non Abusive
2851,Abusive
1517,Abusive
6538,Non Abusive
21229,Non Abusive
17251,Non Abusive
16531,Non Abusive
25684,Non Abusive
15476,Non Abusive
24952,Non Abusive
22488,Non Abusive
10251,Non Abusive
11192,Non Abusive
11724,Non Abusive
23520,Non Abusive
24175,Non Abusive
1116,Abusive
15807,Non Abusive
16086,Non Abusive
14694,Non Abusive
11119,Non Abusive
5399,Non Abusive
4232,Non Abusive
18538,Non Abusive
15958,Non Abusive
17081,Non Abusive
4945,Non Abusive
25527,Non Abusive
21207,Non Abusive
22867,Non Abusive
10123,Non Abusive
15960,Non Abusive
20041,Non Abusive
6867,Non Abusive
896,Abusive
9056,Non Abusive
16332,Non Abusive
9547,Non Abusive
13492,Non Abusive
11383,Non Abusive
19034,Non Abusive
21878,Non Abusive
3086,Abusive
3423,Non Abusive
2785,Abusive
18099,Non Abusive
24186,Non Abusive
16185,Non Abusive
23062,Non Abusive
4613,Non Abusive
16345,Non Abusive
11300,Non Abusive
19165,Non Abusive
17633,Non Abusive
9222,Non Abusive
20714,Non Abusive
7058,Non Abusive
6778,Non Abusive
15974,Non Abusive
14775,Non Abusive
8625,Non Abusive
14016,Non Abusive
15782,Non Abusive
24309,Non Abusive
5493,Non Abusive
8821,Non Abusive
17955,Non Abusive
9415,Non Abusive
23991,Non Abusive
9754,Non Abusive
5786,Non Abusive
5675,Non Abusive
23103,Non Abusive
22264,Non Abusive
13075,Non Abusive
10240,Non Abusive
24158,Non Abusive
12285,Non Abusive
20790,Non Abusive
5213,Non Abusive
4443,Non Abusive
23965,Non Abusive
13614,Non Abusive
10773,Non Abusive
14876,Non Abusive
1680,Abusive
525,Abusive
20088,Non Abusive
11543,Non Abusive
20146,Non Abusive
10688,Non Abusive
7262,Non Abusive
15910,Non Abusive
4968,Non Abusive
19058,Non Abusive
12999,Non Abusive
17568,Non Abusive
17421,Non Abusive
10492,Non Abusive
7722,Non Abusive
2678,Abusive
10533,Non Abusive
23959,Non Abusive
18908,Non Abusive
1325,Abusive
17790,Non Abusive
10640,Non Abusive
12511,Non Abusive
18158,Non Abusive
6392,Non Abusive
18942,Non Abusive
9278,Non Abusive
10289,Non Abusive
22067,Non Abusive
10149,Non Abusive
12517,Non Abusive
13750,Non Abusive
4315,Non Abusive
22695,Non Abusive
3056,Abusive
17819,Non Abusive
10004,Non Abusive
3297,Abusive
14834,Non Abusive
4216,Non Abusive
3100,Abusive
6832,Non Abusive
5458,Non Abusive
24725,Non Abusive
16250,Non Abusive
14826,Non Abusive
14423,Non Abusive
7785,Non Abusive
18523,Non Abusive
23080,Non Abusive
25125,Non Abusive
10722,Non Abusive
10741,Non Abusive
472,Abusive
24628,Non Abusive
11421,Non Abusive
15618,Non Abusive
24507,Non Abusive
15214,Non Abusive
6806,Non Abusive
18147,Non Abusive
18139,Non Abusive
16099,Non Abusive
4095,Non Abusive
13044,Non Abusive
17208,Non Abusive
7048,Non Abusive
1661,Abusive
2100,Abusive
3615,Non Abusive
21519,Non Abusive
8935,Non Abusive
1815,Abusive
2758,Abusive
6357,Non Abusive
20159,Non Abusive
10655,Non Abusive
21192,Non Abusive
14738,Non Abusive
21927,Non Abusive
5159,Non Abusive
9971,Non Abusive
3000,Abusive
8662,Non Abusive
3953,Non Abusive
6539,Non Abusive
10672,Non Abusive
11321,Non Abusive
8363,Non Abusive
8951,Non Abusive
10328,Non Abusive
25347,Non Abusive
2991,Abusive
8612,Non Abusive
3643,Non Abusive
19861,Non Abusive
22682,Non Abusive
25312,Non Abusive
17511,Non Abusive
11262,Non Abusive
17779,Non Abusive
1633,Abusive
8515,Non Abusive
7512,Non Abusive
16791,Non Abusive
12374,Non Abusive
3315,Abusive
12609,Non Abusive
5115,Non Abusive
24231,Non Abusive
17698,Non Abusive
15323,Non Abusive
20262,Non Abusive
1538,Abusive
20383,Non Abusive
19235,Non Abusive
10907,Non Abusive
26115,Non Abusive
2125,Abusive
15381,Non Abusive
23702,Non Abusive
5135,Non Abusive
20450,Non Abusive
2770,Abusive
21,Abusive
22316,Non Abusive
18192,Non Abusive
7313,Non Abusive
11352,Non Abusive
5335,Non Abusive
10967,Non Abusive
12197,Non Abusive
21677,Non Abusive
21367,Non Abusive
15354,Non Abusive
18059,Non Abusive
4060,Non Abusive
14121,Non Abusive
21619,Non Abusive
11344,Non Abusive
20662,Non Abusive
5267,Non Abusive
16667,Non Abusive
23556,Non Abusive
20813,Non Abusive
16868,Non Abusive
11716,Non Abusive
23931,Non Abusive
16546,Non Abusive
17973,Non Abusive
8057,Non Abusive
13514,Non Abusive
22145,Non Abusive
8959,Non Abusive
22872,Non Abusive
14415,Non Abusive
9226,Non Abusive
4158,Non Abusive
22503,Non Abusive
15277,Non Abusive
6760,Non Abusive
19669,Non Abusive
8049,Non Abusive
1525,Abusive
1837,Abusive
14060,Non Abusive
23645,Non Abusive
13652,Non Abusive
9883,Non Abusive
5432,Non Abusive
11842,Non Abusive
22899,Non Abusive
10739,Non Abusive
16251,Non Abusive
6519,Non Abusive
13746,Non Abusive
22257,Non Abusive
26050,Non Abusive
25057,Non Abusive
16350,Non Abusive
3716,Non Abusive
24178,Non Abusive
8638,Non Abusive
2178,Abusive
182,Abusive
25643,Non Abusive
7534,Non Abusive
19173,Non Abusive
25251,Non Abusive
14361,Non Abusive
19420,Non Abusive
25837,Non Abusive
9140,Non Abusive
2104,Abusive
16919,Non Abusive
24644,Non Abusive
3119,Abusive
12810,Non Abusive
22990,Non Abusive
20842,Non Abusive
24581,Non Abusive
2210,Abusive
14828,Non Abusive
19883,Non Abusive
7093,Non Abusive
21038,Non Abusive
24337,Non Abusive
13326,Non Abusive
20861,Non Abusive
10212,Non Abusive
13522,Non Abusive
20768,Non Abusive
15312,Non Abusive
2120,Abusive
21852,Non Abusive
8745,Non Abusive
17162,Non Abusive
1154,Abusive
7344,Non Abusive
18884,Non Abusive
2752,Abusive
23070,Non Abusive
6578,Non Abusive
19606,Non Abusive
9495,Non Abusive
13021,Non Abusive
19086,Non Abusive
22310,Non Abusive
10355,Non Abusive
13438,Non Abusive
22464,Non Abusive
14352,Non Abusive
6466,Non Abusive
543,Abusive
5742,Non Abusive
25327,Non Abusive
12119,Non Abusive
22417,Non Abusive
12752,Non Abusive
24684,Non Abusive
8433,Non Abusive
2790,Abusive
12411,Non Abusive
17886,Non Abusive
11648,Non Abusive
14991,Non Abusive
22090,Non Abusive
23615,Non Abusive
10434,Non Abusive
685,Abusive
21765,Non Abusive
5050,Non Abusive
16859,Non Abusive
22239,Non Abusive
23230,Non Abusive
349,Abusive
21896,Non Abusive
16853,Non Abusive
13039,Non Abusive
13080,Non Abusive
19049,Non Abusive
13101,Non Abusive
13547,Non Abusive
4982,Non Abusive
20874,Non Abusive
6812,Non Abusive
17187,Non Abusive
8503,Non Abusive
22128,Non Abusive
6638,Non Abusive
14602,Non Abusive
842,Abusive
1939,Abusive
16091,Non Abusive
10749,Non Abusive
3826,Non Abusive
11983,Non Abusive
22400,Non Abusive
392,Abusive
13877,Non Abusive
10403,Non Abusive
326,Abusive
6370,Non Abusive
4559,Non Abusive
1722,Abusive
8768,Non Abusive
8657,Non Abusive
14279,Non Abusive
14724,Non Abusive
6223,Non Abusive
25467,Non Abusive
15479,Non Abusive
5790,Non Abusive
26045,Non Abusive
3632,Non Abusive
20128,Non Abusive
9106,Non Abusive
16535,Non Abusive
10993,Non Abusive
24994,Non Abusive
19570,Non Abusive
9632,Non Abusive
9872,Non Abusive
8404,Non Abusive
4393,Non Abusive
24162,Non Abusive
3209,Abusive
10828,Non Abusive
13702,Non Abusive
2439,Abusive
23830,Non Abusive
17180,Non Abusive
26215,Non Abusive
1019,Abusive
25072,Non Abusive
21191,Non Abusive
21840,Non Abusive
8364,Non Abusive
21314,Non Abusive
17242,Non Abusive
5908,Non Abusive
2447,Abusive
23801,Non Abusive
25983,Non Abusive
2019,Abusive
16406,Non Abusive
5626,Non Abusive
559,Abusive
21106,Non Abusive
912,Abusive
20500,Non Abusive
11141,Non Abusive
12641,Non Abusive
17552,Non Abusive
3138,Abusive
14284,Non Abusive
12054,Non Abusive
23782,Non Abusive
21968,Non Abusive
1246,Abusive
3384,Abusive
6311,Non Abusive
14170,Non Abusive
16289,Non Abusive
24245,Non Abusive
9326,Non Abusive
12417,Non Abusive
20530,Non Abusive
4905,Non Abusive
5729,Non Abusive
17170,Non Abusive
6579,Non Abusive
18905,Non Abusive
7443,Non Abusive
5669,Non Abusive
401,Abusive
24149,Non Abusive
18288,Non Abusive
25627,Non Abusive
8478,Non Abusive
8990,Non Abusive
17026,Non Abusive
152,Abusive
19082,Non Abusive
23982,Non Abusive
25548,Non Abusive
12502,Non Abusive
7232,Non Abusive
7504,Non Abusive
25225,Non Abusive
11921,Non Abusive
22277,Non Abusive
6646,Non Abusive
18825,Non Abusive
15472,Non Abusive
10108,Non Abusive
21118,Non Abusive
9920,Non Abusive
11851,Non Abusive
19723,Non Abusive
13708,Non Abusive
22539,Non Abusive
1371,Abusive
23255,Non Abusive
8066,Non Abusive
2088,Abusive
11453,Non Abusive
14543,Non Abusive
21916,Non Abusive
10365,Non Abusive
8468,Non Abusive
16793,Non Abusive
3162,Abusive
318,Abusive
14007,Non Abusive
17093,Non Abusive
24181,Non Abusive
145,Abusive
25038,Non Abusive
16408,Non Abusive
24867,Non Abusive
23048,Non Abusive
14963,Non Abusive
9476,Non Abusive
16890,Non Abusive
23136,Non Abusive
12582,Non Abusive
21265,Non Abusive
10358,Non Abusive
17224,Non Abusive
8260,Non Abusive
19646,Non Abusive
25446,Non Abusive
21026,Non Abusive
11773,Non Abusive
10590,Non Abusive
16570,Non Abusive
19459,Non Abusive
10445,Non Abusive
19004,Non Abusive
19435,Non Abusive
13230,Non Abusive
23013,Non Abusive
7481,Non Abusive
17346,Non Abusive
19770,Non Abusive
25806,Non Abusive
4978,Non Abusive
24039,Non Abusive
4176,Non Abusive
9734,Non Abusive
3770,Non Abusive
12732,Non Abusive
15803,Non Abusive
22139,Non Abusive
20265,Non Abusive
17966,Non Abusive
13359,Non Abusive
6979,Non Abusive
14612,Non Abusive
21054,Non Abusive
6659,Non Abusive
5784,Non Abusive
8079,Non Abusive
3801,Non Abusive
9003,Non Abusive
10132,Non Abusive
2112,Abusive
23073,Non Abusive
12087,Non Abusive
18613,Non Abusive
15204,Non Abusive
26008,Non Abusive
16950,Non Abusive
15608,Non Abusive
13643,Non Abusive
3433,Non Abusive
15052,Non Abusive
2559,Abusive
21797,Non Abusive
11532,Non Abusive
20204,Non Abusive
4059,Non Abusive
14700,Non Abusive
12963,Non Abusive
14806,Non Abusive
2381,Abusive
5417,Non Abusive
15221,Non Abusive
13857,Non Abusive
19867,Non Abusive
24450,Non Abusive
11535,Non Abusive
3734,Non Abusive
3029,Abusive
16456,Non Abusive
20749,Non Abusive
5950,Non Abusive
16276,Non Abusive
25635,Non Abusive
24199,Non Abusive
12648,Non Abusive
3989,Non Abusive
2631,Abusive
4817,Non Abusive
2196,Abusive
2012,Abusive
4327,Non Abusive
6574,Non Abusive
6305,Non Abusive
11985,Non Abusive
17082,Non Abusive
5676,Non Abusive
19878,Non Abusive
25979,Non Abusive
13153,Non Abusive
18968,Non Abusive
10486,Non Abusive
22964,Non Abusive
5087,Non Abusive
9334,Non Abusive
5867,Non Abusive
5611,Non Abusive
14058,Non Abusive
8358,Non Abusive
10961,Non Abusive
21913,Non Abusive
18842,Non Abusive
22460,Non Abusive
11713,Non Abusive
7225,Non Abusive
9695,Non Abusive
11373,Non Abusive
9021,Non Abusive
22754,Non Abusive
2149,Abusive
15753,Non Abusive
15301,Non Abusive
20370,Non Abusive
222,Abusive
25745,Non Abusive
2505,Abusive
20666,Non Abusive
26176,Non Abusive
18804,Non Abusive
17464,Non Abusive
14922,Non Abusive
10093,Non Abusive
6640,Non Abusive
14410,Non Abusive
19159,Non Abusive
13633,Non Abusive
14446,Non Abusive
13699,Non Abusive
3786,Non Abusive
5363,Non Abusive
12014,Non Abusive
11189,Non Abusive
15516,Non Abusive
17465,Non Abusive
9300,Non Abusive
17084,Non Abusive
20910,Non Abusive
18005,Non Abusive
6604,Non Abusive
23091,Non Abusive
10866,Non Abusive
19233,Non Abusive
15933,Non Abusive
6426,Non Abusive
17871,Non Abusive
25645,Non Abusive
25314,Non Abusive
6787,Non Abusive
2755,Abusive
8409,Non Abusive
24454,Non Abusive
18009,Non Abusive
742,Abusive
7866,Non Abusive
3222,Abusive
17423,Non Abusive
17832,Non Abusive
16143,Non Abusive
18650,Non Abusive
1953,Abusive
10531,Non Abusive
16507,Non Abusive
14435,Non Abusive
23918,Non Abusive
7187,Non Abusive
11754,Non Abusive
5080,Non Abusive
16898,Non Abusive
23155,Non Abusive
19220,Non Abusive
17661,Non Abusive
92,Abusive
24670,Non Abusive
7907,Non Abusive
15350,Non Abusive
23709,Non Abusive
6754,Non Abusive
26009,Non Abusive
22586,Non Abusive
22121,Non Abusive
2191,Abusive
2989,Abusive
22279,Non Abusive
21306,Non Abusive
22792,Non Abusive
527,Abusive
19387,Non Abusive
24386,Non Abusive
19942,Non Abusive
22172,Non Abusive
24470,Non Abusive
14891,Non Abusive
16557,Non Abusive
18593,Non Abusive
3456,Non Abusive
862,Abusive
24716,Non Abusive
18404,Non Abusive
20003,Non Abusive
4649,Non Abusive
6603,Non Abusive
6650,Non Abusive
1771,Abusive
11779,Non Abusive
8044,Non Abusive
24985,Non Abusive
13423,Non Abusive
3942,Non Abusive
13674,Non Abusive
2449,Abusive
15049,Non Abusive
16584,Non Abusive
4671,Non Abusive
13040,Non Abusive
8259,Non Abusive
23670,Non Abusive
17609,Non Abusive
4882,Non Abusive
7033,Non Abusive
1840,Abusive
15137,Non Abusive
20376,Non Abusive
15801,Non Abusive
7792,Non Abusive
3781,Non Abusive
26189,Non Abusive
